Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,Juneau,AK,Passenger,0,1,1,58,59,1.69
January 31 2017,Dale,AL,Passenger,0,1,1,66,67,1.49
January 31 2017,Lee,AL,Passenger,1,0,1,35,36,2.78
January 31 2017,Maricopa,AZ,Passenger,3,1,4,1942,1946,0.21
January 31 2017,Pima,AZ,Passenger,0,2,2,464,466,0.43
January 31 2017,Pinal,AZ,Passenger,2,0,2,269,271,0.74
January 31 2017,Yavapai,AZ,Passenger,1,0,1,84,85,1.18
January 31 2017,Alameda,CA,Passenger,6,1,7,396,403,1.74
January 31 2017,Contra Costa,CA,Passenger,1,0,1,693,694,0.14
January 31 2017,Los Angeles,CA,Passenger,2,1,3,1471,1474,0.2
January 31 2017,Marin,CA,Passenger,1,0,1,57,58,1.72
January 31 2017,Monterey,CA,Passenger,0,1,1,238,239,0.42
January 31 2017,Orange,CA,Passenger,2,1,3,699,702,0.43
January 31 2017,Riverside,CA,Passenger,0,1,1,876,877,0.11
January 31 2017,San Diego,CA,Passenger,4,2,6,2901,2907,0.21
January 31 2017,San Mateo,CA,Passenger,0,1,1,178,179,0.56
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,132,133,0.75
January 31 2017,Santa Clara,CA,Passenger,5,3,8,459,467,1.71
January 31 2017,Tulare,CA,Passenger,1,0,1,204,205,0.49
January 31 2017,Ventura,CA,Passenger,0,2,2,394,396,0.51
January 31 2017,El Paso,CO,Passenger,1,1,2,884,886,0.23
January 31 2017,New Haven,CT,Passenger,0,1,1,66,67,1.49
January 31 2017,New London,CT,Passenger,2,1,3,276,279,1.08
January 31 2017,District of Columbia,DC,Passenger,0,3,3,236,239,1.26
January 31 2017,Collier,FL,Passenger,0,1,1,21,22,4.55
January 31 2017,Duval,FL,Passenger,1,1,2,374,376,0.53
January 31 2017,Manatee,FL,Passenger,1,0,1,58,59,1.69
January 31 2017,Marion,FL,Passenger,1,0,1,26,27,3.7
January 31 2017,Okaloosa,FL,Passenger,1,0,1,187,188,0.53
January 31 2017,Orange,FL,Passenger,0,1,1,159,160,0.62
January 31 2017,Polk,FL,Passenger,1,0,1,64,65,1.54
January 31 2017,St. Lucie,FL,Passenger,1,0,1,32,33,3.03
January 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
January 31 2017,Volusia,FL,Passenger,0,1,1,48,49,2.04
January 31 2017,Cobb,GA,Passenger,0,1,1,78,79,1.27
January 31 2017,DeKalb,GA,Passenger,1,0,1,90,91,1.1
January 31 2017,Fulton,GA,Passenger,1,2,3,134,137,2.19
January 31 2017,Gwinnett,GA,Passenger,0,1,1,92,93,1.08
January 31 2017,Muscogee,GA,Passenger,0,1,1,267,268,0.37
January 31 2017,Richmond,GA,Passenger,0,1,1,105,106,0.94
January 31 2017,Honolulu,HI,Passenger,4,1,5,668,673,0.74
January 31 2017,Maui,HI,Passenger,1,0,1,82,83,1.2
January 31 2017,Canyon,ID,Passenger,0,1,1,116,117,0.85
January 31 2017,Latah,ID,Passenger,0,1,1,140,141,0.71
January 31 2017,Madison,ID,Passenger,1,0,1,47,48,2.08
January 31 2017,Shoshone,ID,Passenger,0,1,1,99,100,1
January 31 2017,Lake,IL,Passenger,1,0,1,191,192,0.52
January 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
January 31 2017,Hamilton,IN,Passenger,1,0,1,71,72,1.39
January 31 2017,Hardin,KY,Passenger,0,1,1,130,131,0.76
January 31 2017,Orleans,LA,Passenger,0,1,1,52,53,1.89
January 31 2017,Franklin,MA,Passenger,0,1,1,5,6,16.67
January 31 2017,Middlesex,MA,Passenger,1,0,1,161,162,0.62
January 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25
January 31 2017,Norfolk,MA,Passenger,1,0,1,38,39,2.56
January 31 2017,Anne Arundel,MD,Passenger,0,1,1,515,516,0.19
January 31 2017,Charles,MD,Passenger,0,1,1,89,90,1.11
January 31 2017,Howard,MD,Passenger,0,2,2,91,93,2.15
January 31 2017,Montgomery,MD,Passenger,1,0,1,312,313,0.32
January 31 2017,Prince George's,MD,Passenger,0,1,1,192,193,0.52
January 31 2017,St. Mary's,MD,Passenger,0,1,1,203,204,0.49
January 31 2017,Wayne,MI,Passenger,0,2,2,80,82,2.44
January 31 2017,Dakota,MN,Passenger,0,1,1,46,47,2.13
January 31 2017,Jackson,MO,Passenger,1,0,1,74,75,1.33
January 31 2017,Cascade,MT,Passenger,0,1,1,60,61,1.64
January 31 2017,Cumberland,NC,Passenger,1,0,1,644,645,0.16
January 31 2017,Durham,NC,Passenger,0,1,1,39,40,2.5
January 31 2017,Guilford,NC,Passenger,1,0,1,34,35,2.86
January 31 2017,Harnett,NC,Passenger,1,0,1,281,282,0.35
January 31 2017,Moore,NC,Passenger,0,1,1,207,208,0.48
January 31 2017,Carroll,NH,Passenger,0,1,1,0,1,100
January 31 2017,Bergen,NJ,Passenger,0,2,2,33,35,5.71
January 31 2017,Cape May,NJ,Passenger,0,1,1,19,20,5
January 31 2017,Essex,NJ,Passenger,1,0,1,15,16,6.25
January 31 2017,Morris,NJ,Passenger,1,0,1,23,24,4.17
January 31 2017,Santa Fe,NM,Passenger,0,1,1,44,45,2.22
January 31 2017,Clark,NV,Passenger,1,4,5,922,927,0.54
January 31 2017,Jefferson,NY,Passenger,1,1,2,250,252,0.79
January 31 2017,Lewis,NY,Passenger,0,1,1,10,11,9.09
January 31 2017,Monroe,NY,Passenger,1,0,1,30,31,3.23
January 31 2017,Saratoga,NY,Passenger,1,1,2,82,84,2.38
January 31 2017,Union,OH,Passenger,1,0,1,4,5,20
January 31 2017,Oklahoma,OK,Passenger,0,1,1,209,210,0.48
January 31 2017,Clackamas,OR,Passenger,1,2,3,427,430,0.7
January 31 2017,Deschutes,OR,Passenger,1,1,2,234,236,0.85
January 31 2017,Douglas,OR,Passenger,0,1,1,90,91,1.1
January 31 2017,Hood River,OR,Passenger,1,0,1,42,43,2.33
January 31 2017,Lane,OR,Passenger,0,1,1,288,289,0.35
January 31 2017,Marion,OR,Passenger,1,0,1,237,238,0.42
January 31 2017,Multnomah,OR,Passenger,0,3,3,1270,1273,0.24
January 31 2017,Allegheny,PA,Passenger,1,0,1,92,93,1.08
January 31 2017,Northampton,PA,Passenger,2,0,2,260,262,0.76
January 31 2017,Newport,RI,Passenger,1,0,1,121,122,0.82
January 31 2017,Hamilton,TN,Passenger,1,0,1,26,27,3.7
January 31 2017,Montgomery,TN,Passenger,1,0,1,308,309,0.32
January 31 2017,Shelby,TN,Passenger,0,1,1,113,114,0.88
January 31 2017,Bexar,TX,Passenger,3,3,6,1252,1258,0.48
January 31 2017,Dallas,TX,Passenger,1,0,1,226,227,0.44
January 31 2017,El Paso,TX,Passenger,0,1,1,599,600,0.17
January 31 2017,Hidalgo,TX,Passenger,0,1,1,97,98,1.02
January 31 2017,Tarrant,TX,Passenger,0,2,2,335,337,0.59
January 31 2017,Travis,TX,Passenger,0,1,1,215,216,0.46
January 31 2017,Salt Lake,UT,Passenger,0,1,1,351,352,0.28
January 31 2017,Utah,UT,Passenger,0,1,1,191,192,0.52
January 31 2017,Arlington,VA,Passenger,1,1,2,179,181,1.1
January 31 2017,Fairfax,VA,Passenger,2,2,4,897,901,0.44
January 31 2017,Loudoun,VA,Passenger,0,1,1,86,87,1.15
January 31 2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
January 31 2017,Norfolk,VA,Passenger,1,1,2,305,307,0.65
January 31 2017,Portsmouth,VA,Passenger,0,1,1,61,62,1.61
January 31 2017,Prince William,VA,Passenger,0,3,3,278,281,1.07
January 31 2017,Virginia Beach,VA,Passenger,2,1,3,660,663,0.45
January 31 2017,Adams,WA,Truck,0,0,0,5076,5076,0
January 31 2017,Adams,WA,Passenger,1,1,2,12175,12177,0.02
January 31 2017,Asotin,WA,Truck,0,0,0,6489,6489,0
January 31 2017,Asotin,WA,Passenger,4,3,7,12321,12328,0.06
January 31 2017,Benton,WA,Truck,0,0,0,39814,39814,0
January 31 2017,Benton,WA,Passenger,129,129,258,127871,128129,0.2
January 31 2017,Chelan,WA,Truck,0,0,0,21264,21264,0
January 31 2017,Chelan,WA,Passenger,54,28,82,51904,51986,0.16
January 31 2017,Clallam,WA,Truck,0,0,0,21044,21044,0
January 31 2017,Clallam,WA,Passenger,73,64,137,48010,48147,0.28
January 31 2017,Clark,WA,Truck,0,0,0,77520,77520,0
January 31 2017,Clark,WA,Passenger,673,426,1099,297838,298937,0.37
January 31 2017,Columbia,WA,Truck,0,0,0,1543,1543,0
January 31 2017,Columbia,WA,Passenger,0,1,1,2331,2332,0.04
January 31 2017,Cowlitz,WA,Passenger,51,44,95,69120,69215,0.14
January 31 2017,Cowlitz,WA,Truck,0,0,0,27954,27954,0
