state_name,state_code,num_republicans,num_democrats,num_independents,year,percent_republican,republican_majority,republican_supermajority
Alabama,AL,72,33,0,2017,0.685714286,1,1
Alabama,AL,72,33,0,2018,0.685714286,1,1
Alabama,AL,77,28,0,2019,0.733333333,1,1
Alabama,AL,77,28,0,2020,0.733333333,1,1
Alabama,AL,77,28,0,2021,0.733333333,1,1
Alabama,AL,77,28,0,2022,0.733333333,1,1
Alaska,AK,21,17,2,2017,0.525,1,0
Alaska,AK,21,17,2,2018,0.525,1,0
Alaska,AK,23,16,1,2019,0.575,1,0
Alaska,AK,23,16,1,2020,0.575,1,0
Alaska,AK,21,15,4,2021,0.525,1,0
Alaska,AK,21,15,4,2022,0.525,1,0
Arizona,AZ,35,25,0,2017,0.583333333,1,0
Arizona,AZ,35,25,0,2018,0.583333333,1,0
Arizona,AZ,31,29,0,2019,0.516666667,1,0
Arizona,AZ,31,29,0,2020,0.516666667,1,0
Arizona,AZ,31,29,0,2021,0.516666667,1,0
Arizona,AZ,31,29,0,2022,0.516666667,1,0
Arkansas,AR,73,27,0,2017,0.73,1,1
Arkansas,AR,73,27,0,2018,0.73,1,1
Arkansas,AR,74,26,0,2019,0.74,1,1
Arkansas,AR,74,26,0,2020,0.74,1,1
Arkansas,AR,78,22,0,2021,0.78,1,1
Arkansas,AR,78,22,0,2022,0.78,1,1
California,CA,25,55,0,2017,0.3125,0,0
California,CA,25,55,0,2018,0.3125,0,0
California,CA,20,60,0,2019,0.25,0,0
California,CA,20,60,0,2020,0.25,0,0
California,CA,19,60,1,2021,0.2375,0,0
California,CA,19,60,1,2022,0.2375,0,0
Colorado,CO,28,37,0,2017,0.430769231,0,0
Colorado,CO,28,37,0,2018,0.430769231,0,0
Colorado,CO,24,41,0,2019,0.369230769,0,0
Colorado,CO,24,41,0,2020,0.369230769,0,0
Colorado,CO,24,41,0,2021,0.369230769,0,0
Colorado,CO,24,41,0,2022,0.369230769,0,0
Connecticut,CT,72,79,0,2017,0.476821192,0,0
Connecticut,CT,72,79,0,2018,0.476821192,0,0
Connecticut,CT,59,92,0,2019,0.390728477,0,0
Connecticut,CT,59,92,0,2020,0.390728477,0,0
Connecticut,CT,54,97,0,2021,0.357615894,0,0
Connecticut,CT,54,97,0,2022,0.357615894,0,0
Delaware,DE,16,25,0,2017,0.390243902,0,0
Delaware,DE,16,25,0,2018,0.390243902,0,0
Delaware,DE,15,26,0,2019,0.365853659,0,0
Delaware,DE,15,26,0,2020,0.365853659,0,0
Delaware,DE,15,26,0,2021,0.365853659,0,0
Delaware,DE,15,26,0,2022,0.365853659,0,0
Florida,FL,79,41,0,2017,0.658333333,1,0
Florida,FL,79,41,0,2018,0.658333333,1,0
Florida,FL,73,47,0,2019,0.608333333,1,0
Florida,FL,73,47,0,2020,0.608333333,1,0
Florida,FL,78,42,0,2021,0.65,1,0
Florida,FL,78,42,0,2022,0.65,1,0
Georgia,GA,118,62,0,2017,0.655555556,1,0
Georgia,GA,118,62,0,2018,0.655555556,1,0
Georgia,GA,106,74,0,2019,0.588888889,1,0
Georgia,GA,106,74,0,2020,0.588888889,1,0
Georgia,GA,103,76,0,2021,0.575418994,1,0
Georgia,GA,103,76,0,2022,0.575418994,1,0
Hawaii,HI,6,45,0,2017,0.117647059,0,0
Hawaii,HI,6,45,0,2018,0.117647059,0,0
Hawaii,HI,5,46,0,2019,0.098039216,0,0
Hawaii,HI,5,46,0,2020,0.098039216,0,0
Hawaii,HI,4,47,0,2021,0.078431373,0,0
Hawaii,HI,4,47,0,2022,0.078431373,0,0
Idaho,ID,59,11,0,2017,0.842857143,1,1
Idaho,ID,59,11,0,2018,0.842857143,1,1
Idaho,ID,56,14,0,2019,0.8,1,1
Idaho,ID,56,14,0,2020,0.8,1,1
Idaho,ID,58,12,0,2021,0.828571429,1,1
Idaho,ID,58,12,0,2022,0.828571429,1,1
Illinois,IL,51,67,0,2017,0.43220339,0,0
Illinois,IL,51,67,0,2018,0.43220339,0,0
Illinois,IL,44,74,0,2019,0.372881356,0,0
Illinois,IL,44,74,0,2020,0.372881356,0,0
Illinois,IL,45,73,0,2021,0.381355932,0,0
Illinois,IL,45,73,0,2022,0.381355932,0,0
Indiana,IN,70,30,0,2017,0.7,1,1
Indiana,IN,70,30,0,2018,0.7,1,1
Indiana,IN,67,33,0,2019,0.67,1,1
Indiana,IN,67,33,0,2020,0.67,1,1
Indiana,IN,71,29,0,2021,0.71,1,1
Indiana,IN,71,29,0,2022,0.71,1,1
Iowa,IA,59,41,0,2017,0.59,1,0
Iowa,IA,59,41,0,2018,0.59,1,0
Iowa,IA,54,46,0,2019,0.54,1,0
Iowa,IA,54,46,0,2020,0.54,1,0
Iowa,IA,59,41,0,2021,0.59,1,0
