state_name,state_code,num_republicans,num_democrats,num_independents,year,percent_republican,republican_majority,republican_supermajority
Alabama,AL,26,8,0,2017,0.764705882,1,1
Alabama,AL,27,8,0,2018,0.771428571,1,1
Alabama,AL,27,8,0,2019,0.771428571,1,1
Alabama,AL,27,8,0,2020,0.771428571,1,1
Alabama,AL,27,8,0,2021,0.771428571,1,1
Alabama,AL,27,8,0,2022,0.771428571,1,1
Alaska,AK,14,6,0,2017,0.7,1,1
Alaska,AK,14,6,0,2018,0.7,1,1
Alaska,AK,13,7,0,2019,0.65,1,0
Alaska,AK,13,7,0,2020,0.65,1,0
Alaska,AK,13,7,0,2021,0.65,1,0
Alaska,AK,13,7,0,2022,0.65,1,0
Arizona,AZ,17,13,0,2017,0.566666667,1,0
Arizona,AZ,17,13,0,2018,0.566666667,1,0
Arizona,AZ,17,13,0,2019,0.566666667,1,0
Arizona,AZ,17,13,0,2020,0.566666667,1,0
Arizona,AZ,16,14,0,2021,0.533333333,1,0
Arizona,AZ,16,14,0,2022,0.533333333,1,0
Arkansas,AR,26,9,0,2017,0.742857143,1,1
Arkansas,AR,26,9,0,2018,0.742857143,1,1
Arkansas,AR,26,9,0,2019,0.742857143,1,1
Arkansas,AR,26,9,0,2020,0.742857143,1,1
Arkansas,AR,27,8,0,2021,0.771428571,1,1
Arkansas,AR,27,8,0,2022,0.771428571,1,1
California,CA,13,27,0,2017,0.325,0,0
California,CA,13,27,0,2018,0.325,0,0
California,CA,11,29,0,2019,0.275,0,0
California,CA,11,29,0,2020,0.275,0,0
California,CA,9,30,0,2021,0.230769231,0,0
California,CA,9,30,0,2022,0.230769231,0,0
Colorado,CO,18,17,0,2017,0.514285714,1,0
Colorado,CO,18,17,0,2018,0.514285714,1,0
Colorado,CO,16,19,0,2019,0.457142857,0,0
Colorado,CO,16,19,0,2020,0.457142857,0,0
Colorado,CO,15,20,0,2021,0.428571429,0,0
Colorado,CO,15,20,0,2022,0.428571429,0,0
Connecticut,CT,18,18,0,2017,0.5,0,0
Connecticut,CT,18,18,0,2018,0.5,0,0
Connecticut,CT,13,23,0,2019,0.361111111,0,0
