year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,percent_rep,version,mode,year2,candidatevotes2,totalvotes2,percent_rep2,percentchange
2016,ALABAMA,AL,AUTAUGA,1001,US PRESIDENT,DONALD TRUMP,REPUBLICAN,18172,24973,0.727665879,20220315,TOTAL,2020,19838,27770,0.714368023,0.981725327
2016,ALABAMA,AL,BALDWIN,1003,US PRESIDENT,DONALD TRUMP,REPUBLICAN,72883,95215,0.765457123,20220315,TOTAL,2020,83544,109679,0.761713728,0.995109595
2016,ALABAMA,AL,BARBOUR,1005,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5454,10469,0.520966663,20220315,TOTAL,2020,5622,10518,0.534512265,1.026000898
2016,ALABAMA,AL,BIBB,1007,US PRESIDENT,DONALD TRUMP,REPUBLICAN,6738,8819,0.764032203,20220315,TOTAL,2020,7525,9595,0.784262637,1.026478509
2016,ALABAMA,AL,BLOUNT,1009,US PRESIDENT,DONALD TRUMP,REPUBLICAN,22859,25588,0.893348445,20220315,TOTAL,2020,24711,27588,0.895715528,1.002649676
2016,ALABAMA,AL,BULLOCK,1011,US PRESIDENT,DONALD TRUMP,REPUBLICAN,1140,4710,0.242038217,20220315,TOTAL,2020,1146,4613,0.248428355,1.02640136
2016,ALABAMA,AL,BUTLER,1013,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4901,8732,0.561268896,20220315,TOTAL,2020,5458,9488,0.575252951,1.024915072
2016,ALABAMA,AL,CALHOUN,1015,US PRESIDENT,DONALD TRUMP,REPUBLICAN,32865,47864,0.68663296,20220315,TOTAL,2020,35101,50983,0.688484397,1.002696399
2016,ALABAMA,AL,CHAMBERS,1017,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7843,13900,0.564244604,20220315,TOTAL,2020,8753,15284,0.572690395,1.014968315
2016,ALABAMA,AL,CHEROKEE,1019,US PRESIDENT,DONALD TRUMP,REPUBLICAN,8953,10733,0.83415634,20220315,TOTAL,2020,10583,12301,0.860336558,1.031385265
2016,ALABAMA,AL,CHILTON,1021,US PRESIDENT,DONALD TRUMP,REPUBLICAN,15081,18369,0.821002776,20220315,TOTAL,2020,16085,19310,0.832988089,1.014598383
2016,ALABAMA,AL,CHOCTAW,1023,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4106,7292,0.56308283,20220315,TOTAL,2020,4296,7464,0.575562701,1.022163472
2016,ALABAMA,AL,CLARKE,1025,US PRESIDENT,DONALD TRUMP,REPUBLICAN,7140,13031,0.547924181,20220315,TOTAL,2020,7324,13135,0.557594214,1.017648488
2016,ALABAMA,AL,CLAY,1027,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5245,6624,0.791817633,20220315,TOTAL,2020,5601,6930,0.808225108,1.020721281
2016,ALABAMA,AL,CLEBURNE,1029,US PRESIDENT,DONALD TRUMP,REPUBLICAN,5764,6593,0.874260579,20220315,TOTAL,2020,6484,7227,0.897191089,1.026228461
2016,ALABAMA,AL,COFFEE,1031,US PRESIDENT,DONALD TRUMP,REPUBLICAN,15875,20767,0.764433958,20220315,TOTAL,2020,16899,22275,0.758653199,0.992437857
2016,ALABAMA,AL,COLBERT,1033,US PRESIDENT,DONALD TRUMP,REPUBLICAN,16746,24915,0.672125226,20220315,TOTAL,2020,19203,27886,0.688625117,1.024548834
2016,ALABAMA,AL,CONECUH,1035,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3420,6585,0.519362187,20220315,TOTAL,2020,3442,6441,0.53438907,1.028933341
2016,ALABAMA,AL,COOSA,1037,US PRESIDENT,DONALD TRUMP,REPUBLICAN,3381,5252,0.64375476,20220315,TOTAL,2020,3631,5479,0.662712174,1.029448192
2016,ALABAMA,AL,COVINGTON,1039,US PRESIDENT,DONALD TRUMP,REPUBLICAN,13267,15940,0.832308657,20220315,TOTAL,2020,14586,17430,0.836833046,1.005435951
2016,ALABAMA,AL,CRENSHAW,1041,US PRESIDENT,DONALD TRUMP,REPUBLICAN,4513,6267,0.72012127,20220315,TOTAL,2020,4864,6617,0.735076319,1.020767403
